Empresa	Classe	Código	Setor NAICS	Setor	Subsetor	Segmento	Segmento B3
Excelsior	ON	BAUH3	Outras indústrias de alimentos	Consumo não cíclico	Alimentos processados	Carnes e derivados	Tradicional
Excelsior	PN	BAUH4	Outras indústrias de alimentos	Consumo não cíclico	Alimentos processados	Carnes e derivados	Tradicional
Eztec	ON	EZTC3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Fer Heringer	ON	FHER3	Indústria de fertilizantes e pesticidas	Materiais básicos	Químicos	Fertilizantes e defensivos	Novo Mercado
Ferbasa	ON	FESA3	Fundição	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Ferbasa	PN	FESA4	Fundição	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Finansinos	ON	FNCN3	Bancos	Financeiro	Intermediários financeiros	Soc. crédito e financiamento	Tradicional
Fleury	ON	FLRY3	Laboratório de exames médicos	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Novo Mercado
Flex S/A	ON	FLEX3	Outros serviços de apoio	Bens industriais	Serviços diversos	Serviços diversos	Bovespa Mais
Focus ON	ON	POWE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Fras-Le	ON	FRAS3	Indústria de autopeças	Bens industriais	Material de transporte	Material rodoviário	Nível 1
Gafisa	ON	GFSA3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Gama Part	ON	OPGM3B	Administração de empresas e empreendimentos	Outros	Outros	Outros	Balcão Organizado
Generalshopp	ON	GSHP3	Locadora de imóveis	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
Ger Paranap	ON	GEPA3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Ger Paranap	PN	GEPA4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Gerdau	ON	GGBR3	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Gerdau	PN	GGBR4	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Gerdau Met	ON	GOAU3	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Gerdau Met	PN	GOAU4	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Siderurgia	Nível 1
Gol	PN	GOLL4	Transporte aéreo regular	Bens industriais	Transporte	Transporte aéreo	Nível 2
GP Invest	A	GPIV33	Administração de empresas e empreendimentos	Financeiro	Serviços financeiros diversos	Gestão de recursos e investimentos	BDR nível 3
GPC Part	ON	GPCP3	Administração de empresas e empreendimentos	Materiais básicos	Químicos	Petroquímicos	Tradicional
GPC Part	PN	GPCP4	Administração de empresas e empreendimentos	Materiais básicos	Químicos	Petroquímicos	Tradicional
Grazziotin	ON	CGRA3	Loja de roupas	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Tradicional
Grazziotin	PN	CGRA4	Loja de roupas	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Tradicional
Grendene	ON	GRND3	Indústria de calçados	Consumo cíclico	Tecidos vestuário e calçados	Calçados	Novo Mercado
Grupo Mateus	ON	GMAT3	Loja de departamentos	Consumo não cíclico	Comércio e distribuição	Alimentos	Novo Mercado
Grupo Natura	ON	NTCO3	Comércio atacadista de bens não duráveis variados	Consumo não cíclico	Produtos de uso pessoal e de limpeza	Produtos de uso pessoal	Novo Mercado
Grupo Soma	ON	SOMA3	Comércio atacadista de roupas	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Novo Mercado
Guararapes	ON	GUAR3	Indústria de roupas de tecido	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Tradicional
Habitasul	ON	HBTS3	Administração de empresas e empreendimentos	Financeiro	Exploração de imóveis	Exploração de imóveis	Tradicional
Habitasul	PNA	HBTS5	Administração de empresas e empreendimentos	Financeiro	Exploração de imóveis	Exploração de imóveis	Tradicional
Habitasul	PNB	HBTS6	Administração de empresas e empreendimentos	Financeiro	Exploração de imóveis	Exploração de imóveis	Tradicional
Haga S/A	ON	HAGA3	Indústria de ferragens	Bens industriais	Construção e engenharia	Produtos para construção	Tradicional
Haga S/A	PN	HAGA4	Indústria de ferragens	Bens industriais	Construção e engenharia	Produtos para construção	Tradicional
Hapvida	ON	HAPV3	Serviços ambulatoriais de saúde	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Novo Mercado
Hbr Realty	ON	HBRE3	Construção de edifícios residenciais	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
Helbor	ON	HBOR3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Hercules	ON	HETA3	Indústria de ferramentas de metal não motorizadas e cutelaria	Consumo cíclico	Utilidades domésticas	Utensílios domésticos	Tradicional
Hercules	PN	HETA4	Indústria de ferramentas de metal não motorizadas e cutelaria	Consumo cíclico	Utilidades domésticas	Utensílios domésticos	Tradicional
Hidrovias	ON	HBSA3	Transporte fluvial	Bens industriais	Transporte	Transporte hidroviário	Novo Mercado
Hoteis Othon	ON	HOOT3	Hotel, motel ou similar	Consumo cíclico	Hotéis e restaurantes	Hotelaria	Tradicional
Hoteis Othon	PN	HOOT4	Hotel, motel ou similar	Consumo cíclico	Hotéis e restaurantes	Hotelaria	Tradicional
Hypera	ON	HYPE3	Outras outras indústrias	Saúde	Comércio e distribuição	Medicamentos e outros produtos	Novo Mercado
IGB S/A	ON	IGBR3	Indústria de equipamentos de áudio e vídeo	Financeiro	Exploração de imóveis	Exploração de imóveis	Tradicional
Igua SA	ON	IGSN3	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Bovespa Mais
Iguatemi	ON	IGTA3	Locadora de imóveis	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
Ihpardini	ON	PARD3	Laboratório de exames médicos	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Novo Mercado
Imc S/A	ON	MEAL3	Loja de comida e bebida	Consumo cíclico	Hotéis e restaurantes	Restaurante e similares	Novo Mercado
Ind Cataguas	ON	CATA3	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Ind Cataguas	PN	CATA4	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Inds Romi	ON	ROMI3	Indústria de máquinas industriais	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Novo Mercado
Inepar	ON	INEP3	Outras outras indústrias	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Tradicional
Inepar	PN	INEP4	Outras outras indústrias	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Tradicional
Intelbras	ON	INTB3	Indústria de equipamentos de comunicação	Tecnologia da informação	Computadores e equipamentos	Computadores e equipamentos	Novo Mercado
Inter SA	ON	INNT3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Bovespa Mais
Intermedica	ON	GNDI3	Laboratório de exames médicos	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Novo Mercado
Invepar	ON	IVPR3B	Atividades auxiliares ao transporte rodoviário	Bens industriais	Transporte	Serviços de apoio e armazenagem	Balcão Organizado
Invepar	PN	IVPR4B	Atividades auxiliares ao transporte rodoviário	Bens industriais	Transporte	Serviços de apoio e armazenagem	Balcão Organizado
Invest Bemge	ON	FIGE3	Administração de empresas e empreendimentos	Outros	Outros	Outros	Tradicional
Invest Bemge	PN	FIGE4	Administração de empresas e empreendimentos	Outros	Outros	Outros	Tradicional
Iochp-Maxion	ON	MYPK3	Indústria de autopeças	Consumo cíclico	Automóveis e motocicletas	Automóveis e motocicletas	Novo Mercado
Irani	ON	RANI3	Indústria de papel, celulose e papelão	Materiais básicos	Madeira e papel	Papel e celulose	Novo Mercado
Irbbrasil Re	ON	IRBR3	Seguradora e corretora de seguros	Financeiro	Previdência e seguros	Seguradoras	Novo Mercado
Itausa	ON	ITSA3	Administração de empresas e empreendimentos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Itausa	PN	ITSA4	Administração de empresas e empreendimentos	Financeiro	Intermediários financeiros	Bancos	Nível 1
ItauUnibanco	ON	ITUB3	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
ItauUnibanco	PN	ITUB4	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
J B Duarte	ON	JBDU3	Indústria de alimentos	Outros	Outros	Outros	Tradicional
J B Duarte	PN	JBDU4	Indústria de alimentos	Outros	Outros	Outros	Tradicional
Jallesmachad	ON	JALL3	Outras outras indústrias	Consumo não cíclico	Alimentos processados	Açúcar e álcool	Novo Mercado
JBS	ON	JBSS3	Abatedouros	Consumo não cíclico	Alimentos processados	Carnes e derivados	Novo Mercado
Jereissati	ON	JPSA3	Administração de empresas e empreendimentos	Financeiro	Exploração de imóveis	Exploração de imóveis	Tradicional
JHSF Part	ON	JHSF3	Construção	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Josapar	ON	JOPA3	Moinho de grãos	Consumo não cíclico	Alimentos processados	Alimentos diversos	Tradicional
Josapar	PN	JOPA4	Moinho de grãos	Consumo não cíclico	Alimentos processados	Alimentos diversos	Tradicional
JSL	ON	JSLG3	Transporte rodoviário	Bens industriais	Transporte	Transporte rodoviário	Novo Mercado
Karsten	ON	CTKA3	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Karsten	PN	CTKA4	Indústria de roupas de tecido	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Kepler Weber	ON	KEPL3	Indústria de estruturas metálicas	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Tradicional
Klabin S/A	ON	KLBN3	Indústria de papel, celulose e papelão	Materiais básicos	Madeira e papel	Papel e celulose	Nível 2
Klabin S/A	PN	KLBN4	Indústria de papel, celulose e papelão	Materiais básicos	Madeira e papel	Papel e celulose	Nível 2
Klabin S/A	UNT N2	KLBN11	Indústria de papel, celulose e papelão	Materiais básicos	Madeira e papel	Papel e celulose	Nível 2
Lavvi	ON	LAVV3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Le Lis Blanc	ON	LLIS3	Tecelagens	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Novo Mercado
Lifemed	ON	LMED3	Indústria de equipamentos e materiais para uso médico	Saúde	Equipamentos	Equipamentos	Bovespa Mais
Light S/A	ON	LIGT3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Linx	ON	LINX3	Editoras de software	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Litel	ON	LTEL3B	Mineração de metais	Materiais básicos	Mineração	Minerais metálicos	Balcão Organizado
Litela	ON	LTLA3B	Mineração (exceto petróleo e gás)	Materiais básicos	Mineração	Minerais metálicos	Balcão Organizado
Localiza	ON	RENT3	Locadora de automóveis	Consumo cíclico	Diversos	Aluguel de carros	Novo Mercado
Locamerica	ON	LCAM3	Locadora de automóveis	Consumo cíclico	Diversos	Aluguel de carros	Novo Mercado
Locaweb	ON	LWSA3	Editoras de software	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Log Com Prop	ON	LOGG3	Construção	Financeiro	Exploração de imóveis	Exploração de imóveis	Novo Mercado
Log-In	ON	LOGN3	Atividades auxiliares ao transporte	Bens industriais	Transporte	Transporte hidroviário	Novo Mercado
Lojas Americ	ON	LAME3	Loja de departamentos	Consumo cíclico	Comércio	Produtos diversos	Nível 1
Lojas Americ	PN	LAME4	Loja de departamentos	Consumo cíclico	Comércio	Produtos diversos	Nível 1
Lojas Marisa	ON	AMAR3	Loja de roupas	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Novo Mercado
Lojas Renner	ON	LREN3	Loja de roupas	Consumo cíclico	Comércio	Tecidos vestuário e calçados	Novo Mercado
Lopes Brasil	ON	LPSB3	Atividades relacionadas a imóveis	Financeiro	Exploração de imóveis	Intermediação imobiliária	Novo Mercado
Lupatech	ON	LUPA3	Forjarias e estamparias	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Equipamentos e serviços	Novo Mercado
M.Diasbranco	ON	MDIA3	Outras indústrias de alimentos	Consumo não cíclico	Alimentos processados	Alimentos diversos	Novo Mercado
Maestroloc	ON	MSRO3	Locadora de automóveis	Consumo cíclico	Diversos	Aluguel de carros	Bovespa Mais
Magaz Luiza	ON	MGLU3	Loja de departamentos	Consumo cíclico	Comércio	Eletrodomésticos	Novo Mercado
Mangels Indl	ON	MGEL3	Forjarias e estamparias	Materiais básicos	Siderurgia e metalurgia	Artefatos de ferro e aço	Tradicional
Mangels Indl	PN	MGEL4	Forjarias e estamparias	Materiais básicos	Siderurgia e metalurgia	Artefatos de ferro e aço	Tradicional
Marcopolo	ON	POMO3	Indústria de carrocerias e trailers	Bens industriais	Material de transporte	Material rodoviário	Nível 2
Marcopolo	PN	POMO4	Indústria de carrocerias e trailers	Bens industriais	Material de transporte	Material rodoviário	Nível 2
Marfrig	ON	MRFG3	Abatedouros	Consumo não cíclico	Alimentos processados	Carnes e derivados	Novo Mercado
Melhor SP	ON	MSPA3	Indústria de produtos de papel e papelão	Materiais básicos	Madeira e papel	Papel e celulose	Tradicional
Melhor SP	PN	MSPA4	Indústria de produtos de papel e papelão	Materiais básicos	Madeira e papel	Papel e celulose	Tradicional
Meliuz	ON	CASH3	Outros serviços de Informação	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Melnick	ON	MELK3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Menezes Cort	ON	MNZC3B	Outras atividades auxiliares ao transporte	Financeiro	Exploração de imóveis	Exploração de imóveis	Balcão Organizado
Merc Brasil	ON	BMEB3	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Merc Brasil	PN	BMEB4	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 1
Merc Financ	ON	MERC3	Bancos	Financeiro	Intermediários financeiros	Soc. crédito e financiamento	Tradicional
Merc Financ	PN	MERC4	Bancos	Financeiro	Intermediários financeiros	Soc. crédito e financiamento	Tradicional
Merc Invest	ON	BMIN3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Merc Invest	PN	BMIN4	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Metal Iguacu	ON	MTIG3	Outras indústrias de produtos de metal	Materiais básicos	Embalagens	Embalagens	Tradicional
Metal Iguacu	PN	MTIG4	Outras indústrias de produtos de metal	Materiais básicos	Embalagens	Embalagens	Tradicional
Metal Leve	ON	LEVE3	Indústria de autopeças	Consumo cíclico	Automóveis e motocicletas	Automóveis e motocicletas	Novo Mercado
Metalfrio	ON	FRIO3	Indústria de equipamentos de refrigeração	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Novo Mercado
Metisa	ON	MTSA3	Outras indústrias de produtos de metal	Bens industriais	Máquinas e equipamentos	Máq. e equip. construção e agrícolas	Tradicional
Metisa	PN	MTSA4	Outras indústrias de produtos de metal	Bens industriais	Máquinas e equipamentos	Máq. e equip. construção e agrícolas	Tradicional
Mills	ON	MILS3	Serviços de engenharia e arquitetura	Bens industriais	Construção e engenharia	Serviços diversos	Novo Mercado
Minasmaquinas	ON	MMAQ3	Concessionárias de outros veículos motorizados	Bens industriais	Comércio	Material de transporte	Tradicional
Minasmaquinas	PN	MMAQ4	Concessionárias de outros veículos motorizados	Bens industriais	Comércio	Material de transporte	Tradicional
Minerva	ON	BEEF3	Abatedouros	Consumo não cíclico	Alimentos processados	Carnes e derivados	Novo Mercado
Minupar	ON	MNPR3	Abatedouros	Consumo não cíclico	Alimentos processados	Carnes e derivados	Tradicional
Mitre	ON	MTRE3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
MMX Miner	ON	MMXM3	Mineração de metais	Materiais básicos	Mineração	Minerais metálicos	Novo Mercado
Mobly	ON	MBLY3	Vendas por correio ou meio eletrônico	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Mont Aranha	ON	MOAR3	Administração de empresas e empreendimentos	Financeiro	Holdings diversificadas	Holdings diversificadas	Tradicional
Mosaico SA	ON	MOSI3	Vendas por correio ou meio eletrônico	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Moura Dubeux	ON	MDNE3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Movida	ON	MOVI3	Locadora de automóveis	Consumo cíclico	Diversos	Aluguel de carros	Novo Mercado
Mrs Logist	ON	MRSA3B	Transporte ferroviário	Bens industriais	Transporte	Transporte ferroviário	Balcão Organizado
Mrs Logist	PNA	MRSA5B	Transporte ferroviário	Bens industriais	Transporte	Transporte ferroviário	Balcão Organizado
Mrs Logist	PNB	MRSA6B	Transporte ferroviário	Bens industriais	Transporte	Transporte ferroviário	Balcão Organizado
MRV	ON	MRVE3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Multiplan	ON	MULT3	Locadora de imóveis	Financeiro	Exploração de imóveis	Exploração de imóveis	Nível 2
Mundial	ON	MNDL3	Indústria de ferragens	Consumo cíclico	Tecidos vestuário e calçados	Acessórios	Tradicional
Neoenergia	ON	NEOE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Neogrid	ON	NGRD3	Editoras de software	Tecnologia da informação	Programas e serviços	Programas e serviços	Novo Mercado
Nord Brasil	ON	BNBR3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Nordon Met	ON	NORD3	Indústria de outros tipos de máquinas	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Tradicional
Nortcquimica	ON	NRTQ3	Indústria de remédios	Saúde	Medicamentos e outros produtos	Medicamentos e outros produtos	Bovespa Mais
Nutriplant	ON	NUTR3	Indústria de fertilizantes e pesticidas	Materiais básicos	Químicos	Fertilizantes e defensivos	Bovespa Mais
Oceanpact	ON	OPCT3	Mineração, exploração de pedreiras e extração de petróleo e gás	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Equipamentos e serviços	Novo Mercado
Oderich	ON	ODER3	Indústria de frutas e vegetais em conserva e comidas especiais	Consumo não cíclico	Alimentos processados	Alimentos diversos	Tradicional
Oderich	PN	ODER4	Indústria de frutas e vegetais em conserva e comidas especiais	Consumo não cíclico	Alimentos processados	Alimentos diversos	Tradicional
Odontoprev	ON	ODPV3	Consultório odontológico	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Novo Mercado
Oi	ON	OIBR3	Telecomunicações	Comunicações	Telecomunicações	Telecomunicações	Nível 1
Oi	PN	OIBR4	Telecomunicações	Comunicações	Telecomunicações	Telecomunicações	Nível 1
Omega Ger	ON	OMGE3	Administração de empresas e empreendimentos	Utilidade pública	Energia elétrica	Energia elétrica	Novo Mercado
Opport Energ	ON	OPHE3B	Administração de empresas e empreendimentos	Outros	Outros	Outros	Balcão Organizado
Orizon	ON	ORVR3	Empresa de eletricidade, gás e água	Utilidade pública	Água e saneamento	Água e saneamento	Novo Mercado
OSX Brasil	ON	OSXB3	Estaleiros	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Equipamentos e serviços	Novo Mercado
Ourofino S/A	ON	OFSA3	Indústria de remédios	Saúde	Medicamentos e outros produtos	Medicamentos e outros produtos	Novo Mercado
P.Acucar-Cbd	ON	PCAR3	Loja de departamentos	Consumo não cíclico	Comércio e distribuição	Alimentos	Novo Mercado
Padtec	ON	PDTC3	Editoras de software	Financeiro	Serviços financeiros diversos	Serviços financeiros diversos	Tradicional
Pague Menos	ON	PGMN3	Loja de mercadorias variadas	Saúde	Comércio e distribuição	Medicamentos e outros produtos	Novo Mercado
Panatlantica	ON	PATI3	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Artefatos de ferro e aço	Tradicional
Panatlantica	PN	PATI4	Transformação de aço em produtos de aço	Materiais básicos	Siderurgia e metalurgia	Artefatos de ferro e aço	Tradicional
Par Al Bahia	ON	PEAB3	Administração de empresas e empreendimentos	Financeiro	Holdings diversificadas	Holdings diversificadas	Tradicional
Par Al Bahia	PN	PEAB4	Administração de empresas e empreendimentos	Financeiro	Holdings diversificadas	Holdings diversificadas	Tradicional
Paranapanema	ON	PMAM3	Outras indústrias de produtos de metal	Materiais básicos	Siderurgia e metalurgia	Artefatos de cobre	Novo Mercado
PDG Realt	ON	PDGR3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Pet Manguinh	ON	RPMG3	Indústria de produtos de petróleo e carvão	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Tradicional
Petrobras	ON	PETR3	Extração de petróleo e gás	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Nível 2
Petrobras	PN	PETR4	Extração de petróleo e gás	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Nível 2
Petrobras BR	ON	BRDT3	Comércio atacadista de petróleo e produtos de petróleo	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Novo Mercado
Petrorio	ON	PRIO3	Extração de petróleo e gás	Petróleo gás e biocombustíveis	Petróleo gás e biocombustíveis	Exploração refino e distribuição	Novo Mercado
Pettenati	ON	PTNT3	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Pettenati	PN	PTNT4	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Petz	ON	PETZ3	Comércio atacadista de bens não duráveis variados	Consumo cíclico	Comércio	Produtos diversos	Novo Mercado
Pine	ON	PINE3	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Pine	PN	PINE4	Bancos	Financeiro	Intermediários financeiros	Bancos	Nível 2
Planoeplano	ON	PLPL3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Plascar Part	ON	PLAS3	Indústria de autopeças	Consumo cíclico	Automóveis e motocicletas	Automóveis e motocicletas	Tradicional
Polpar	ON	PPAR3	Administração de empresas e empreendimentos	Outros	Outros	Outros	Tradicional
Pomifrutas	ON	FRTA3	Cultivo de frutas e nozes	Consumo não cíclico	Agropecuária	Agricultura	Novo Mercado
Porto Seguro	ON	PSSA3	Seguradora	Financeiro	Previdência e seguros	Seguradoras	Novo Mercado
Portobello	ON	PTBL3	Indústria de produtos de cerâmica e refratários	Bens industriais	Construção e engenharia	Produtos para construção	Novo Mercado
Positivo Tec	ON	POSI3	Indústria de computadores e periféricos	Tecnologia da informação	Computadores e equipamentos	Computadores e equipamentos	Novo Mercado
Ppla	UNT	PPLA11	Instituição de intermediação de crédito e atividades relacionadas	Financeiro	Serviços financeiros diversos	Gestão de recursos e investimentos	Tradicional
Pratica	ON	PTCA3	Indústria de eletrodomésticos	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Bovespa Mais Nível 2
Pratica	PN Resg	PTCA11	Indústria de eletrodomésticos	Bens industriais	Máquinas e equipamentos	Máq. e equip. industriais	Bovespa Mais Nível 2
Priner	ON	PRNR3	Construção de edifícios residenciais	Bens industriais	Serviços diversos	Serviços diversos	Novo Mercado
Profarma	ON	PFRM3	Comércio atacadista de remédios	Saúde	Comércio e distribuição	Medicamentos e outros produtos	Novo Mercado
Prompt	ON	PRPT3B	Administração de empresas e empreendimentos	Outros	Outros	Outros	Balcão Organizado
Qualicorp	ON	QUAL3	Outros serviços ambulatoriais de saúde	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Novo Mercado
Quality Soft	ON	QUSW3	Editoras de software	Tecnologia da informação	Programas e serviços	Programas e serviços	Bovespa Mais
Quero-Quero	ON	LJQQ3	Outras lojas de mercadorias variadas	Consumo cíclico	Comércio	Produtos diversos	Novo Mercado
RaiaDrogasil	ON	RADL3	Loja de artigos para saúde e cuidados pessoais	Saúde	Comércio e distribuição	Medicamentos e outros produtos	Novo Mercado
Randon Part	ON	RAPT3	Indústria de carrocerias e trailers	Bens industriais	Material de transporte	Material rodoviário	Nível 1
Randon Part	PN	RAPT4	Indústria de carrocerias e trailers	Bens industriais	Material de transporte	Material rodoviário	Nível 1
Recrusul	ON	RCSL3	Indústria de carrocerias e trailers	Bens industriais	Material de transporte	Material rodoviário	Tradicional
Recrusul	PN	RCSL4	Indústria de carrocerias e trailers	Bens industriais	Material de transporte	Material rodoviário	Tradicional
Rede D Or	ON	RDOR3	Laboratório de exames médicos	Saúde	Serviços médico-hospitalares análises e diagnósticos	Serviços médico-hospitalares análises e diagnósticos	Novo Mercado
Rede Energia	ON	REDE3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Tradicional
Renova	ON	RNEW3	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Renova	PN	RNEW4	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Renova	UNT N2	RNEW11	Geração, transmissão e distribuição de energia elétrica	Utilidade pública	Energia elétrica	Energia elétrica	Nível 2
Riosulense	ON	RSUL3	Indústria de autopeças	Bens industriais	Material de transporte	Material rodoviário	Tradicional
Riosulense	PN	RSUL4	Indústria de autopeças	Bens industriais	Material de transporte	Material rodoviário	Tradicional
Rni	ON	RDNI3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Rossi Resid	ON	RSID3	Construção de edifícios residenciais	Consumo cíclico	Construção civil	Incorporações	Novo Mercado
Rumo S.A.	ON	RAIL3	Transporte ferroviário	Bens industriais	Transporte	Transporte ferroviário	Novo Mercado
Sabesp	ON	SBSP3	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Novo Mercado
Sanepar	ON	SAPR3	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Nível 2
Sanepar	PN	SAPR4	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Nível 2
Sanepar	UNT N2	SAPR11	Água, esgoto e outros sistemas	Utilidade pública	Água e saneamento	Água e saneamento	Nível 2
Sansuy	ON	SNSY3	Indústria de produtos de plástico	Materiais básicos	Materiais diversos	Materiais diversos	Tradicional
Sansuy	PNA	SNSY5	Indústria de produtos de plástico	Materiais básicos	Materiais diversos	Materiais diversos	Tradicional
Sansuy	PNB	SNSY6	Indústria de produtos de plástico	Materiais básicos	Materiais diversos	Materiais diversos	Tradicional
Santander BR	ON	SANB3	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Santander BR	PN	SANB4	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Santander BR	UNT	SANB11	Bancos	Financeiro	Intermediários financeiros	Bancos	Tradicional
Santanense	ON	CTSA3	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Santanense	PN	CTSA4	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
Santanense	PND	CTSA8	Tecelagens	Consumo cíclico	Tecidos vestuário e calçados	Fios e tecidos	Tradicional
